,precision,recall,f1-score,support
0.0,0.2045180588419126,0.32157899663047546,0.2500250152365532,42736.0
1.0,0.6550157703675785,0.8725062755978332,0.7482777374909355,37845.0
2.0,1.0,0.4827586206896552,0.6511627906976745,29.0
3.0,0.687303624374917,0.7694708680142688,0.726069984338842,40368.0
4.0,0.21559489878710966,1.0,0.35471504364196477,10363.0
5.0,0.6706585600524064,0.2274311340664223,0.33967350451277106,144048.0
6.0,0.0,0.0,0.0,37973.0
7.0,0.01989819527996298,0.08557213930348259,0.03228834240660785,1005.0
8.0,0.2608695652173913,0.7058823529411765,0.38095238095238093,17.0
101.0,0.8983588096677997,0.7042159122488679,0.7895277019225483,61173.0
102.0,0.0,0.0,0.0,36.0
105.0,0.19170675218243363,0.7130881378396289,0.3021763549564729,30180.0
106.0,0.0,0.0,0.0,15151.0
107.0,0.8068309070548713,0.5245086144139772,0.6357352941176471,8242.0
108.0,0.9923686105111591,0.9243562231759657,0.9571557530727033,7456.0
accuracy,0.4509071920333836,0.4509071920333836,0.4509071920333836,0.4509071920333836
macro avg,0.4402082501558361,0.48875795166145025,0.41118399355647345,436622.0
weighted avg,0.5381293404936356,0.4509071920333836,0.4369234438861273,436622.0
